Date,Open,High,Low,Close,Adj Close,Volume
2011-06-27,0.954640,0.961910,0.929560,0.933010,0.933010,0
2011-07-04,0.927790,0.938350,0.926800,0.928250,0.928250,0
2011-07-11,0.932880,0.949760,0.926960,0.932320,0.932320,0
2011-07-18,0.939140,0.946720,0.919470,0.922700,0.922700,0
2011-07-25,0.922510,0.926090,0.902480,0.909090,0.909090,0
2011-08-01,0.907700,0.963470,0.903690,0.958860,0.958860,0
2011-08-08,0.963100,1.006600,0.958040,0.967280,0.967280,0
2011-08-15,0.963210,0.969090,0.943310,0.963460,0.963460,0
2011-08-22,0.962930,0.964410,0.944970,0.957690,0.957690,0
2011-08-29,0.945450,0.946660,0.930060,0.932570,0.932570,0
2011-09-05,0.942510,0.958880,0.937980,0.942740,0.942740,0
2011-09-12,0.958130,0.982220,0.957640,0.968430,0.968430,0
2011-09-19,0.969930,1.033000,0.969530,1.024000,1.024000,0
2011-09-26,1.017600,1.038900,1.002400,1.024100,1.024100,0
2011-10-03,1.033400,1.063700,1.012400,1.026500,1.026500,0
2011-10-10,1.024000,1.025100,0.968320,0.984830,0.984830,0
2011-10-17,0.967120,0.988120,0.964130,0.977470,0.977470,0
2011-10-24,0.968900,0.968990,0.932110,0.934840,0.934840,0
2011-10-31,0.937120,0.979720,0.934750,0.959830,0.959830,0
2011-11-07,0.961280,0.994220,0.960520,0.984940,0.984940,0
2011-11-14,0.967420,1.003200,0.967420,1.001600,1.001600,0
2011-11-21,1.000200,1.034100,1.000200,1.030000,1.030000,0
2011-11-28,1.017700,1.019800,0.968520,0.978190,0.978190,0
2011-12-05,0.976440,0.994750,0.963390,0.982490,0.982490,0
2011-12-12,0.979690,1.013600,0.979600,1.006200,1.006200,0
2011-12-19,1.003600,1.009800,0.978770,0.986780,0.986780,0
2011-12-26,0.984540,0.995020,0.976750,0.979620,0.979620,0
2012-01-02,0.977480,0.982030,0.962720,0.980580,0.980580,0
2012-01-09,0.980220,0.985470,0.963610,0.972550,0.972550,0
2012-01-16,0.972610,0.975000,0.952560,0.955160,0.955160,0
2012-01-23,0.955070,0.958590,0.935630,0.940040,0.940040,0
2012-01-30,0.940200,0.949670,0.927820,0.930150,0.930150,0
2012-02-06,0.929970,0.939580,0.922080,0.933910,0.933910,0
2012-02-13,0.933570,0.939060,0.924420,0.925330,0.925330,0
2012-02-20,0.925850,0.942910,0.925790,0.935450,0.935450,0
2012-02-27,0.935210,0.938790,0.921150,0.931710,0.931710,0
2012-03-05,0.932740,0.951180,0.930990,0.946520,0.946520,0
2012-03-12,0.946520,0.959230,0.938350,0.943000,0.943000,0
2012-03-19,0.943220,0.966960,0.941030,0.954650,0.954650,0
2012-03-26,0.953470,0.970310,0.946970,0.957670,0.957670,0
2012-04-02,0.959160,0.975990,0.955570,0.972290,0.972290,0
2012-04-09,0.971350,0.977680,0.956660,0.965060,0.965060,0
2012-04-16,0.966840,0.970210,0.959790,0.964040,0.964040,0
2012-04-23,0.963210,0.975650,0.954290,0.956020,0.956020,0
2012-04-30,0.956420,0.988450,0.955750,0.987560,0.987560,0
2012-05-07,0.987970,1.000000,0.978720,0.998590,0.998590,0
2012-05-14,0.997900,1.020500,0.996400,1.017400,1.017400,0
2012-05-21,1.016500,1.030200,1.006100,1.018000,1.018000,0
2012-05-28,1.018800,1.043300,1.010200,1.035200,1.035200,0
2012-06-04,1.036700,1.038200,0.999700,1.001600,1.001600,0
2012-06-11,1.001600,1.013400,0.986810,0.988900,0.988900,0
2012-06-18,0.988690,0.999050,0.979420,0.996240,0.996240,0
2012-06-25,0.996070,1.002900,0.973800,0.976180,0.976180,0
2012-07-02,0.976670,0.982170,0.968340,0.979530,0.979530,0
2012-07-09,0.980750,0.989830,0.972560,0.975900,0.975900,0
