Back to Contents,Data 1: U.S. Refinery and Blender Net Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MTTRPUS1,MNGRPUS1,M_EPL2_YPR_NUS_MBBL,MENRPUS1,MPARP_NUS_1,MBURPUS1,MIIRPUS1,M_EPLOLE_YPR_NUS_MBBL,MEYRPUS1,MPLRPUS1,MBYRPUS1,MIYRPUS1,MLPRPUS1,METRPUS1,MPRRPUS1,MBNRPUS1,MBIRPUS1,MGFRPUS1,MGRRPUS1,MG1RP_NUS_1,M_EPM0RO_YPR_NUS_MBBL,MG4RP_NUS_1,MG5RP_NUS_1,M_EPM0CAL55_YPR_NUS_MBBL,M_EPM0CAG55_YPR_NUS_MBBL,MG6RP_NUS_1,MGARPUS1,MKJRPUS1,MKERPUS1,MDIRPUS1,MD0RP_NUS_1,MD1RP_NUS_1,MDGRPUS1,MRERPUS1,MRLRPUS1,MRMRPUS1,MRGRPUS1,MPCRPUS1,MNFRPUS1,MOTRPUS1,MNSRPUS1,MLURPUS1,MWXRPUS1,MCKRPUS1,MCMRPUS1,MCORPUS1,MAPRPUS1,MSGRPUS1,MMSRPUS1,MPGRPUS1,
1986,5300676,152312,,,,,,,,,,,152312,2868,112714,35010,1720,2464496,,,,,,,,,11726,400433,32647,1020716,,,,324349,,,,147549,43778,103771,19745,58165,5613,184513,,,149739,233966,23175,,
1987,5338657,163703,,,,,,,,,,,163703,3468,118580,37728,3927,2497019,,,,,,,,,9073,415470,28691,996119,,,,323201,,,,139946,41911,98035,20936,60870,5879,186902,,,158434,234529,23273,,
1988,5498146,182611,,,,,,,,,,,182611,3808,130655,43353,4795,2545768,,,,,,,,,9297,425930,28770,1045786,,,,338734,,,,122491,40225,82266,21773,62291,6166,199056,,,162066,245351,26663,,
1989,5538702,202225,,,,,,,,,,,202225,4464,142961,49909,4891,2541527,,,,,,,,,9199,436817,26938,1057975,,,,348148,,,,124733,45924,78809,21418,61387,6223,197665,,,154887,248658,25648,,
1990,5574458,182175,,,,,,,,,,,182175,5915,147626,24612,4022,2539858,,,,,,,,,8538,478380,16281,1067485,,,,346576,,,,148084,50498,97586,20006,61161,6193,201660,,,163970,245535,23703,,
1991,5568548,195577,,,,,,,,,,,195577,9344,155958,28671,1604,2545974,,,,,,,,,8031,465136,13952,1081018,,,,341080,,,,147858,47852,100006,18797,57001,6681,207463,,,156840,237759,25544,,
1992,5635507,222124,,,,,,,,,,,222124,9209,167452,41774,3689,2583061,,,,,,,,,7985,458955,14768,1088324,,,,326511,,,,166078,60659,105419,21663,57635,6738,217988,,,153191,241160,16301,,
1993,5762251,215907,,7512,,36429,3808,,2592,47192,497,745,215907,10104,164324,36926,4553,2665980,0,,,2665980,,,,,7782,477861,17438,1143075,,327834,815241,304780,27553,79127,198100,157734,53689,104045,19827,58285,7328,226016,143140,82876,164714,238365,16169,-279713,
1994,5763584,223157,,8052,,39336,3591,,2542,50082,935,1118,223157,10594,167583,40271,4709,2621006,124074,,,2496932,,,,,7892,514577,21138,1169688,,665399,504289,301436,20511,85836,195089,152551,59589,92962,19359,62089,7637,227059,146209,80850,164789,239901,17505,-280322,
1995,5837945,238782,,7190,128440,41083,3619,,2001,54994,467,988,238782,9191,183434,41550,4607,2722403,687503,,,2034900,,,,,7836,513661,19182,1151735,,709604,442131,287601,29223,77228,181150,151430,62770,88660,18213,63690,7713,229955,148608,81347,170394,236242,16010,-282618,
